arm,endpoint,featurizer,split,metric,n,n_seeds,mean_over_seeds,sd_over_seeds,seed0,seed_lo,seed_hi,boot_lo,boot_hi,boot_lo_mean,boot_hi_mean,wide_lo,wide_hi
as_published,esol,morgan,random,RMSE,1128,5,1.0934,0.0799,1.1583,0.9692,1.1679,1.0488,1.2773,0.9822,1.2087,0.863,1.3205
as_published,esol,descriptors,random,RMSE,1128,5,0.5862,0.0446,0.5629,0.5385,0.6417,0.5043,0.6253,0.5153,0.6588,0.4771,0.7404
as_published,esol,combo,random,RMSE,1128,5,0.5843,0.0431,0.5494,0.5494,0.6333,0.4903,0.6111,0.5167,0.6566,0.4896,0.7231
as_published,esol,morgan,scaffold,RMSE,1128,5,1.6183,0.0275,1.639,1.5725,1.6393,1.4686,1.7944,1.4457,1.7767,1.3939,1.7944
as_published,esol,descriptors,scaffold,RMSE,1128,5,0.9381,0.0243,0.925,0.9045,0.9664,0.83,1.0112,0.8358,1.0318,0.8035,1.0623
as_published,esol,combo,scaffold,RMSE,1128,5,0.9276,0.0208,0.9116,0.9036,0.9565,0.8085,1.0033,0.823,1.0192,0.8004,1.05
dedup,esol,morgan,random,RMSE,1111,5,1.1866,0.0833,1.1014,1.1001,1.2844,0.9642,1.2339,1.0483,1.3233,0.9642,1.4067
dedup,esol,descriptors,random,RMSE,1111,5,0.6411,0.0539,0.5886,0.5844,0.7105,0.5032,0.673,0.549,0.7358,0.5032,0.8315
dedup,esol,combo,random,RMSE,1111,5,0.6406,0.0619,0.5717,0.5717,0.7241,0.5037,0.6475,0.5505,0.7347,0.5037,0.8465
dedup,esol,morgan,scaffold,RMSE,1111,5,1.6273,0.0266,1.621,1.5868,1.6564,1.4353,1.8082,1.4415,1.814,1.421,1.8469
dedup,esol,descriptors,scaffold,RMSE,1111,5,0.9143,0.0238,0.9013,0.8888,0.9517,0.803,1.0069,0.8172,1.0134,0.7958,1.0511
dedup,esol,combo,scaffold,RMSE,1111,5,0.9174,0.0232,0.8994,0.8971,0.9502,0.7956,1.0053,0.8179,1.0168,0.7956,1.0512
as_published,tox21:NR-AR,morgan,random,ROC_AUC,7432,5,0.8007,0.0399,0.7568,0.7568,0.8555,0.6844,0.8244,0.7307,0.8643,0.6844,0.905
as_published,tox21:NR-AR,descriptors,random,ROC_AUC,7432,5,0.7637,0.0406,0.7548,0.7048,0.8021,0.6691,0.8311,0.6835,0.8356,0.6162,0.8726
as_published,tox21:NR-AR,combo,random,ROC_AUC,7432,5,0.769,0.0407,0.7624,0.7106,0.8097,0.6804,0.831,0.6929,0.8372,0.6283,0.8738
as_published,tox21:NR-AR,morgan,scaffold,ROC_AUC,7432,5,0.7305,0.0097,0.728,0.7166,0.7437,0.6515,0.7972,0.6537,0.8046,0.6303,0.8188
as_published,tox21:NR-AR,descriptors,scaffold,ROC_AUC,7432,5,0.7457,0.0204,0.7478,0.7113,0.7646,0.6677,0.8241,0.6698,0.8228,0.6274,0.8348
as_published,tox21:NR-AR,combo,scaffold,ROC_AUC,7432,5,0.7352,0.0171,0.7474,0.7176,0.7584,0.6677,0.8208,0.6595,0.8144,0.6431,0.8373
dedup,tox21:NR-AR,morgan,random,ROC_AUC,7249,5,0.8149,0.0285,0.765,0.765,0.8336,0.6911,0.8337,0.7446,0.8772,0.6911,0.8904
dedup,tox21:NR-AR,descriptors,random,ROC_AUC,7249,5,0.8047,0.033,0.7696,0.7696,0.8559,0.692,0.8428,0.7365,0.8717,0.692,0.9138
dedup,tox21:NR-AR,combo,random,ROC_AUC,7249,5,0.8246,0.0255,0.7944,0.7944,0.852,0.7209,0.8674,0.7587,0.8878,0.7209,0.9023
dedup,tox21:NR-AR,morgan,scaffold,ROC_AUC,7249,5,0.716,0.0127,0.7207,0.695,0.7275,0.6401,0.7925,0.6364,0.7931,0.6136,0.8051
dedup,tox21:NR-AR,descriptors,scaffold,ROC_AUC,7249,5,0.7159,0.0073,0.7102,0.7102,0.726,0.6294,0.7861,0.6324,0.7911,0.6243,0.799
dedup,tox21:NR-AR,combo,scaffold,ROC_AUC,7249,5,0.7361,0.0312,0.7378,0.7154,0.7896,0.6642,0.8128,0.6593,0.8083,0.6304,0.8532
as_published,tox21:SR-MMP,morgan,random,ROC_AUC,5914,5,0.8713,0.0031,0.8722,0.8676,0.876,0.8451,0.8981,0.841,0.8995,0.8322,0.903
as_published,tox21:SR-MMP,descriptors,random,ROC_AUC,5914,5,0.9297,0.0077,0.9326,0.9175,0.9379,0.9107,0.9506,0.9087,0.9488,0.8915,0.953
as_published,tox21:SR-MMP,combo,random,ROC_AUC,5914,5,0.9316,0.0052,0.9312,0.9239,0.9378,0.9081,0.9496,0.91,0.9512,0.8984,0.9569
as_published,tox21:SR-MMP,morgan,scaffold,ROC_AUC,5914,5,0.7631,0.0098,0.7737,0.7474,0.7737,0.7361,0.8071,0.7269,0.7947,0.7115,0.8071
as_published,tox21:SR-MMP,descriptors,scaffold,ROC_AUC,5914,5,0.8416,0.0052,0.8438,0.8348,0.8489,0.8144,0.8718,0.8133,0.8687,0.8046,0.8753
as_published,tox21:SR-MMP,combo,scaffold,ROC_AUC,5914,5,0.844,0.0017,0.8467,0.8424,0.8467,0.8175,0.8728,0.8142,0.8705,0.813,0.8728
dedup,tox21:SR-MMP,morgan,random,ROC_AUC,5798,5,0.8799,0.0182,0.8759,0.8557,0.9067,0.8441,0.9025,0.8505,0.9065,0.8232,0.9277
dedup,tox21:SR-MMP,descriptors,random,ROC_AUC,5798,5,0.9284,0.0175,0.9037,0.9037,0.9503,0.877,0.9274,0.908,0.947,0.877,0.9637
dedup,tox21:SR-MMP,combo,random,ROC_AUC,5798,5,0.9273,0.0178,0.9033,0.9033,0.9519,0.8753,0.929,0.9056,0.9469,0.8753,0.9665
dedup,tox21:SR-MMP,morgan,scaffold,ROC_AUC,5798,5,0.7646,0.0075,0.7707,0.753,0.7713,0.7355,0.802,0.7286,0.7965,0.7169,0.8037
dedup,tox21:SR-MMP,descriptors,scaffold,ROC_AUC,5798,5,0.8398,0.0043,0.8429,0.8329,0.8434,0.8161,0.8656,0.8132,0.8634,0.8049,0.8673
dedup,tox21:SR-MMP,combo,scaffold,ROC_AUC,5798,5,0.8464,0.0062,0.8546,0.8406,0.8546,0.8292,0.8774,0.8211,0.8695,0.8144,0.8774
as_published,tox21:NR-AhR,morgan,random,ROC_AUC,6684,5,0.8907,0.0055,0.9,0.8854,0.9,0.8709,0.9251,0.8613,0.9165,0.8578,0.9251
as_published,tox21:NR-AhR,descriptors,random,ROC_AUC,6684,5,0.9059,0.0146,0.9185,0.8826,0.9185,0.8973,0.9425,0.8794,0.9295,0.852,0.9425
as_published,tox21:NR-AhR,combo,random,ROC_AUC,6684,5,0.908,0.0134,0.9184,0.8892,0.9223,0.8934,0.9425,0.8804,0.9318,0.8602,0.9429
as_published,tox21:NR-AhR,morgan,scaffold,ROC_AUC,6684,5,0.7971,0.0106,0.8027,0.7823,0.8063,0.7716,0.8349,0.764,0.8308,0.7464,0.8391
as_published,tox21:NR-AhR,descriptors,scaffold,ROC_AUC,6684,5,0.8409,0.0036,0.8429,0.837,0.8453,0.8155,0.8703,0.8116,0.8696,0.8069,0.8742
as_published,tox21:NR-AhR,combo,scaffold,ROC_AUC,6684,5,0.8432,0.0055,0.8475,0.8366,0.8496,0.819,0.8752,0.8138,0.8701,0.8062,0.8771
dedup,tox21:NR-AhR,morgan,random,ROC_AUC,6534,5,0.8874,0.0219,0.8706,0.8605,0.9141,0.8346,0.9028,0.8568,0.916,0.8259,0.9355
dedup,tox21:NR-AhR,descriptors,random,ROC_AUC,6534,5,0.9141,0.0173,0.9015,0.8926,0.9323,0.8685,0.9277,0.8885,0.9369,0.866,0.9503
dedup,tox21:NR-AhR,combo,random,ROC_AUC,6534,5,0.9158,0.0157,0.9014,0.899,0.9359,0.8674,0.9281,0.8896,0.9381,0.8674,0.9521
dedup,tox21:NR-AhR,morgan,scaffold,ROC_AUC,6534,5,0.79,0.007,0.792,0.7783,0.7961,0.7599,0.8272,0.7567,0.8246,0.7421,0.8291
dedup,tox21:NR-AhR,descriptors,scaffold,ROC_AUC,6534,5,0.8386,0.0048,0.8442,0.8312,0.8442,0.8148,0.8772,0.8084,0.8705,0.7998,0.8772
dedup,tox21:NR-AhR,combo,scaffold,ROC_AUC,6534,5,0.838,0.0049,0.8402,0.8324,0.8452,0.8106,0.8692,0.8085,0.8697,0.8025,0.8766
