endpoint,featurizer,split,metric,mean_over_seeds,sd_over_seeds,seed0,seed_lo,seed_hi,boot_lo,boot_hi,boot_lo_mean,boot_hi_mean,wide_lo,wide_hi,n_seeds
esol,morgan,random,RMSE,1.0934,0.0799,1.1583,0.9692,1.1679,1.0488,1.2773,0.9822,1.2087,0.863,1.3205,5
esol,descriptors,random,RMSE,0.5862,0.0446,0.5629,0.5385,0.6417,0.5043,0.6253,0.5153,0.6588,0.4771,0.7404,5
esol,combo,random,RMSE,0.5843,0.0431,0.5494,0.5494,0.6333,0.4903,0.6111,0.5167,0.6566,0.4896,0.7231,5
esol,morgan,scaffold,RMSE,1.6183,0.0275,1.639,1.5725,1.6393,1.4686,1.7944,1.4457,1.7767,1.3939,1.7944,5
esol,descriptors,scaffold,RMSE,0.9381,0.0243,0.925,0.9045,0.9664,0.83,1.0112,0.8358,1.0318,0.8035,1.0623,5
esol,combo,scaffold,RMSE,0.9276,0.0208,0.9116,0.9036,0.9565,0.8085,1.0033,0.823,1.0192,0.8004,1.05,5
tox21:NR-AR,morgan,random,ROC_AUC,0.8007,0.0399,0.7568,0.7568,0.8555,0.6844,0.8244,0.7307,0.8643,0.6844,0.905,5
tox21:NR-AR,descriptors,random,ROC_AUC,0.7637,0.0406,0.7548,0.7048,0.8021,0.6691,0.8311,0.6835,0.8356,0.6162,0.8726,5
tox21:NR-AR,combo,random,ROC_AUC,0.769,0.0407,0.7624,0.7106,0.8097,0.6804,0.831,0.6929,0.8372,0.6283,0.8738,5
tox21:NR-AR,morgan,scaffold,ROC_AUC,0.7305,0.0097,0.728,0.7166,0.7437,0.6515,0.7972,0.6537,0.8046,0.6303,0.8188,5
tox21:NR-AR,descriptors,scaffold,ROC_AUC,0.7457,0.0204,0.7478,0.7113,0.7646,0.6677,0.8241,0.6698,0.8228,0.6274,0.8348,5
tox21:NR-AR,combo,scaffold,ROC_AUC,0.7352,0.0171,0.7474,0.7176,0.7584,0.6677,0.8208,0.6595,0.8144,0.6431,0.8373,5
tox21:SR-MMP,morgan,random,ROC_AUC,0.8713,0.0031,0.8722,0.8676,0.876,0.8451,0.8981,0.841,0.8995,0.8322,0.903,5
tox21:SR-MMP,descriptors,random,ROC_AUC,0.9297,0.0077,0.9326,0.9175,0.9379,0.9107,0.9506,0.9087,0.9488,0.8915,0.953,5
tox21:SR-MMP,combo,random,ROC_AUC,0.9316,0.0052,0.9312,0.9239,0.9378,0.9081,0.9496,0.91,0.9512,0.8984,0.9569,5
tox21:SR-MMP,morgan,scaffold,ROC_AUC,0.7631,0.0098,0.7737,0.7474,0.7737,0.7361,0.8071,0.7269,0.7947,0.7115,0.8071,5
tox21:SR-MMP,descriptors,scaffold,ROC_AUC,0.8416,0.0052,0.8438,0.8348,0.8489,0.8144,0.8718,0.8133,0.8687,0.8046,0.8753,5
tox21:SR-MMP,combo,scaffold,ROC_AUC,0.844,0.0017,0.8467,0.8424,0.8467,0.8175,0.8728,0.8142,0.8705,0.813,0.8728,5
tox21:NR-AhR,morgan,random,ROC_AUC,0.8907,0.0055,0.9,0.8854,0.9,0.8709,0.9251,0.8613,0.9165,0.8578,0.9251,5
tox21:NR-AhR,descriptors,random,ROC_AUC,0.9059,0.0146,0.9185,0.8826,0.9185,0.8973,0.9425,0.8794,0.9295,0.852,0.9425,5
tox21:NR-AhR,combo,random,ROC_AUC,0.908,0.0134,0.9184,0.8892,0.9223,0.8934,0.9425,0.8804,0.9318,0.8602,0.9429,5
tox21:NR-AhR,morgan,scaffold,ROC_AUC,0.7971,0.0106,0.8027,0.7823,0.8063,0.7716,0.8349,0.764,0.8308,0.7464,0.8391,5
tox21:NR-AhR,descriptors,scaffold,ROC_AUC,0.8409,0.0036,0.8429,0.837,0.8453,0.8155,0.8703,0.8116,0.8696,0.8069,0.8742,5
tox21:NR-AhR,combo,scaffold,ROC_AUC,0.8432,0.0055,0.8475,0.8366,0.8496,0.819,0.8752,0.8138,0.8701,0.8062,0.8771,5
